"","funds_lost","funds_returned","scamNetworks","scam_type_grouped"
"413",0,0,"Ethereum","Exit Scam"
"414",2905021,0,"Binance","Exit Scam"
"415",25300,0,"Ethereum","Exit Scam"
"416",0,0,"Binance","Exit Scam"
"417",0,0,"Polygon","Exit Scam"
"418",0,0,"Ethereum","Exit Scam"
"419",2.8e+09,0,"Centralized","Exploit"
"420",0,0,"Ethereum","Exit Scam"
"421",53100,0,"Centralized","Exploit"
"422",0,0,"Ethereum","Exit Scam"
"423",0,0,"Binance","Exit Scam"
"424",0,0,"Ethereum","Exploit"
"425",0,0,"Binance","Exit Scam"
"426",0,0,"Binance","Exit Scam"
"427",399855,0,"Ethereum","Exit Scam"
"428",6800987,6800987,"Ethereum","Exploit"
"429",0,0,"Binance","Exit Scam"
"430",0,0,"Ethereum","Exit Scam"
"431",262732,0,"Ethereum","Exploit"
"432",0,0,"Ethereum","Exit Scam"
"433",0,0,"Binance","Exit Scam"
"434",0,0,"Binance","Exit Scam"
"435",0,0,"Ethereum","Exit Scam"
"436",0,0,"Binance","Exit Scam"
"437",0,0,"Ethereum","Exit Scam"
"438",0,0,"Binance","Exit Scam"
"439",2338,0,"Ethereum","Exit Scam"
"440",12910,0,"Ethereum","Exit Scam"
"441",332000,0,"Centralized","Exploit"
"442",0,0,"Ethereum","Exit Scam"
"443",269315,0,"Ethereum, Binance, Polygon","Exploit"
"444",366975,0,"Ethereum","Exit Scam"
"445",0,0,"Polygon","Exit Scam"
"446",477544,0,"Ethereum","Exit Scam"
"447",0,0,"Binance","Exit Scam"
"448",0,0,"Binance","Exit Scam"
"449",0,0,"Binance","Exit Scam"
"450",0,0,"Binance","Exit Scam"
"451",0,0,"Binance","Exit Scam"
"452",0,0,"Binance","Exit Scam"
"453",8186549,0,"Ethereum","Exploit"
"454",0,0,"Ethereum","Exploit"
"455",1430000,0,"Ethereum","Exploit"
"456",82091,0,"Ethereum","Exit Scam"
"457",0,0,"Binance","Exit Scam"
"458",0,0,"Ethereum","Exit Scam"
"459",236000,0,"Centralized","Exploit"
"460",0,0,"Ethereum","Exit Scam"
"461",84535,0,"Binance","Exit Scam"
"462",4055803,0,"Solana","Exit Scam"
"463",0,0,"Binance","Exit Scam"
"464",0,0,"Binance","Exit Scam"
"465",0,0,"Binance","Exit Scam"
"466",0,0,"Binance","Exit Scam"
"467",428872,0,"Binance","Exit Scam"
"468",0,0,"Binance","Exit Scam"
"469",0,0,"Ethereum","Exit Scam"
"470",367000,367000,"Ethereum","Exploit"
"471",0,0,"Binance","Exit Scam"
"472",0,0,"Binance","Exit Scam"
"473",26081,0,"Binance","Exit Scam"
"474",0,0,"Binance","Exit Scam"
"475",25000,0,"Binance","Exit Scam"
"476",0,0,"Ethereum","Exit Scam"
"477",0,0,"Binance","Exit Scam"
"478",1800000,0,"Centralized","Exploit"
"479",0,0,"Binance","Exit Scam"
"480",0,0,"Binance","Exit Scam"
"481",0,0,"Ethereum","Exit Scam"
"482",0,0,"Binance","Exit Scam"
"483",0,0,"Binance","Exit Scam"
"484",1260000,0,"Ethereum","Exploit"
"485",0,0,"Ethereum","Exit Scam"
"486",0,0,"Ethereum","Exit Scam"
"487",0,0,"Binance","Exit Scam"
"488",0,0,"Binance","Exit Scam"
"489",0,0,"Ethereum","Exit Scam"
"490",0,0,"Binance","Exit Scam"
"491",0,0,"Ethereum","Exit Scam"
"492",0,0,"Ethereum","Exit Scam"
"493",216386,0,"Ethereum","Exit Scam"
"494",660657,0,"Binance","Exploit"
"495",0,0,"Binance","Exit Scam"
"496",7940000,0,"Centralized","Exploit"
"497",0,0,"Ethereum","Exit Scam"
"498",0,0,"Binance","Exit Scam"
"499",0,0,"Ethereum","Exit Scam"
"500",0,0,"Binance","Exit Scam"
"501",0,0,"Binance","Exit Scam"
"502",0,0,"Binance","Exit Scam"
"503",0,0,"Ethereum","Exit Scam"
"504",58000,0,"Centralized","Exploit"
"505",0,0,"Binance","Exit Scam"
"506",45000,0,"Centralized","Exploit"
"507",0,0,"Binance","Exit Scam"
"508",6200000,0,"Gnosis","Exploit"
"509",0,0,"Ethereum","Exit Scam"
"510",0,0,"Ethereum","Exit Scam"
"511",0,0,"Binance","Exit Scam"
"512",1813,0,"Ethereum","Exit Scam"
"513",0,0,"Ethereum","Exit Scam"
"514",0,0,"Binance","Exit Scam"
"515",0,0,"Ethereum","Exit Scam"
"516",41930,0,"Ethereum","Exit Scam"
"517",0,0,"Polygon","Exit Scam"
